model,cv_mae,test_mae,test_rmse,test_r2,best_params
GradientBoosting,762.1517140209105,748.9106291282121,906.04046453269,0.5604069231360285,"{""regressor__regressor__learning_rate"": 0.03, ""regressor__regressor__max_depth"": 2, ""regressor__regressor__n_estimators"": 200}"
RandomForest,780.3791589105806,756.7078039793389,912.7824895294962,0.5538403854532783,"{""regressor__regressor__max_depth"": 10, ""regressor__regressor__min_samples_leaf"": 4, ""regressor__regressor__n_estimators"": 600}"
